                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     86,               0.034812,               0.023288,               0.019361,               0.014365,                0.53457,                0.45642,                 0.4284,                0.24643,                0.52967,                0.45462,                0.42391,                0.25759,               0.053823,               0.027743,               0.013839,               0.037752,               0.007195,               0.007195,               0.007195
                     87,               0.036523,               0.024059,               0.019042,               0.015882,                 0.5323,                0.43166,                0.42036,                0.23985,                0.52613,                0.42809,                0.41029,                0.24897,               0.054515,               0.028285,               0.014044,               0.038675,               0.007162,               0.007162,               0.007162
                     88,               0.035852,               0.024007,               0.018988,               0.015099,                0.49378,                0.45199,                  0.411,                0.23475,                0.49295,                0.44638,                0.40423,                0.24457,               0.053589,               0.026394,               0.014093,               0.039668,               0.007129,               0.007129,               0.007129
                     89,               0.034934,                0.02484,               0.019835,                0.01555,                0.49426,                 0.4439,                 0.4098,                0.23713,                0.49118,                0.43941,                0.40423,                0.24772,               0.052727,               0.026234,               0.013844,               0.038303,               0.007096,               0.007096,               0.007096
                     90,               0.034732,               0.024149,               0.019467,               0.016051,                0.51728,                0.42874,                0.39576,                0.22062,                0.53671,                0.42854,                0.39686,                0.23984,               0.055241,               0.027156,               0.014168,               0.043695,               0.007063,               0.007063,               0.007063
                     91,               0.035748,               0.024119,               0.018979,               0.015571,                0.49121,                0.43434,                0.40283,                0.23425,                 0.4939,                0.43353,                0.40327,                 0.2451,               0.053866,               0.028696,               0.014153,               0.039884,                0.00703,                0.00703,                0.00703
                     92,               0.034509,               0.024249,               0.019433,               0.014431,                 0.5043,                0.45458,                0.41928,                0.24106,                0.50103,                  0.453,                0.41456,                 0.2499,               0.052601,               0.026278,               0.013887,               0.038122,               0.006997,               0.006997,               0.006997
                     93,                0.03511,               0.024063,               0.019633,               0.014985,                0.52106,                0.42232,                0.40389,                 0.2227,                0.51077,                0.42109,                0.39777,                 0.2379,               0.053491,               0.027022,               0.014297,                0.04053,               0.006964,               0.006964,               0.006964
                     94,               0.034864,               0.023057,                0.01907,               0.014271,                0.50481,                0.41793,                0.40354,                0.23533,                0.50637,                 0.4196,                0.40498,                0.25005,               0.053262,                0.02612,               0.014154,               0.039196,               0.006931,               0.006931,               0.006931
                     95,               0.034556,               0.023519,               0.019154,               0.013767,                0.50091,                0.44887,                0.40989,                0.24038,                 0.4979,                0.44227,                0.40545,                0.25315,               0.054054,               0.026145,               0.014208,               0.040232,               0.006898,               0.006898,               0.006898
                     96,               0.034078,               0.023572,               0.018764,               0.014107,                0.52765,                0.44182,                0.42718,                0.25151,                0.52425,                0.44257,                0.42318,                0.25929,               0.051805,               0.025961,               0.013799,               0.038307,               0.006865,               0.006865,               0.006865
                     97,               0.034472,               0.023053,               0.018963,                0.01466,                0.54368,                 0.4224,                0.41455,                0.23848,                0.54818,                0.41729,                0.41162,                0.24994,               0.053153,                0.02671,               0.013933,               0.042221,               0.006832,               0.006832,               0.006832
                     98,               0.033871,               0.023086,               0.019212,               0.014801,                0.50101,                0.43229,                0.39768,                0.22521,                 0.5022,                0.43149,                 0.3955,                0.24084,               0.052658,               0.026506,               0.013771,               0.040262,               0.006799,               0.006799,               0.006799
                     99,                0.03417,               0.023298,               0.018744,                0.01448,                 0.4828,                0.38707,                0.36978,                0.20581,                0.47213,                0.37973,                0.35673,                0.20742,               0.056386,               0.032715,               0.014422,               0.042848,               0.006766,               0.006766,               0.006766
